,CVE ID,mapping_type,attack_id,attack_name
127,CVE-2012-0767,secondary_impact,T1098,Account Manipulation
128,CVE-2012-0767,primary_impact,T1185,Browser Session Hijacking
129,CVE-2019-1653,exploitation_technique,T1190,Exploit Public-Facing Application
130,CVE-2023-26360,secondary_impact,T1071.001,Web Protocols
131,CVE-2023-26360,secondary_impact,T1105,Ingress Tool Transfer
132,CVE-2023-26360,secondary_impact,T1046,Network Service Discovery
133,CVE-2023-26360,secondary_impact,T1003.001,LSASS Memory
134,CVE-2023-26360,secondary_impact,T1036.005,Match Legitimate Name or Location
135,CVE-2023-26360,secondary_impact,T1484.001,Group Policy Modification
136,CVE-2023-26360,secondary_impact,T1505.003,Web Shell
137,CVE-2023-26360,primary_impact,T1059.007,JavaScript
138,CVE-2016-4437,exploitation_technique,T1190,Exploit Public-Facing Application
139,CVE-2016-4437,primary_impact,T1059,Command and Scripting Interpreter
140,CVE-2021-42013,exploitation_technique,T1210,Exploitation of Remote Services
141,CVE-2021-42013,primary_impact,T1059,Command and Scripting Interpreter
142,CVE-2021-41773,primary_impact,T1059,Command and Scripting Interpreter
143,CVE-2021-41773,exploitation_technique,T1210,Exploitation of Remote Services
144,CVE-2020-0069,exploitation_technique,T1068,Exploitation for Privilege Escalation
145,CVE-2020-5735,primary_impact,T1574,Hijack Execution Flow
146,CVE-2020-5735,secondary_impact,T1499,Endpoint Denial of Service
147,CVE-2019-1653,secondary_impact,T1007,System Service Discovery
148,CVE-2019-1653,primary_impact,T1082,System Information Discovery
149,CVE-2019-1653,secondary_impact,T1005,Data from Local System
150,CVE-2023-26360,exploitation_technique,T1190,Exploit Public-Facing Application
151,CVE-2013-0625,exploitation_technique,T1190,Exploit Public-Facing Application
152,CVE-2013-0632,exploitation_technique,T1190,Exploit Public-Facing Application
153,CVE-2009-3960,primary_impact,T1486,Data Encrypted for Impact
154,CVE-2009-3960,exploitation_technique,T1190,Exploit Public-Facing Application
155,CVE-2012-0767,exploitation_technique,T1204.001,Malicious Link
156,CVE-2016-1019,secondary_impact,T1486,Data Encrypted for Impact
157,CVE-2016-1019,primary_impact,T1105,Ingress Tool Transfer
158,CVE-2016-1019,exploitation_technique,T1189,Drive-by Compromise
159,CVE-2021-29256,exploitation_technique,T1203,Exploitation for Client Execution
160,CVE-2024-38080,primary_impact,T1068,Exploitation for Privilege Escalation
161,CVE-2022-47966,exploitation_technique,T1190,Exploit Public-Facing Application
162,CVE-2018-11776,secondary_impact,T1496,Resource Hijacking
163,CVE-2018-11776,primary_impact,T1059,Command and Scripting Interpreter
164,CVE-2018-11776,exploitation_technique,T1190,Exploit Public-Facing Application
165,CVE-2017-5638,secondary_impact,T1005,Data from Local System
166,CVE-2017-5638,primary_impact,T1059,Command and Scripting Interpreter
167,CVE-2017-5638,exploitation_technique,T1190,Exploit Public-Facing Application
168,CVE-2020-17530,primary_impact,T1059,Command and Scripting Interpreter
169,CVE-2020-17530,exploitation_technique,T1190,Exploit Public-Facing Application
170,CVE-2019-17558,primary_impact,T1059,Command and Scripting Interpreter
171,CVE-2019-17558,exploitation_technique,T1190,Exploit Public-Facing Application
172,CVE-2019-0211,exploitation_technique,T1068,Exploitation for Privilege Escalation
173,CVE-2017-9805,primary_impact,T1059,Command and Scripting Interpreter
174,CVE-2017-9805,exploitation_technique,T1190,Exploit Public-Facing Application
175,CVE-2021-27104,primary_impact,T1059,Command and Scripting Interpreter
176,CVE-2021-27104,secondary_impact,T1005,Data from Local System
177,CVE-2021-27101,secondary_impact,T1005,Data from Local System
178,CVE-2021-27103,secondary_impact,T1005,Data from Local System
179,CVE-2021-27102,secondary_impact,T1005,Data from Local System
180,CVE-2021-27102,primary_impact,T1059,Command and Scripting Interpreter
181,CVE-2021-27103,exploitation_technique,T1190,Exploit Public-Facing Application
182,CVE-2021-27102,exploitation_technique,T1190,Exploit Public-Facing Application
183,CVE-2021-27101,primary_impact,T1059,Command and Scripting Interpreter
184,CVE-2021-27104,exploitation_technique,T1190,Exploit Public-Facing Application
185,CVE-2018-4990,exploitation_technique,T1059.007,JavaScript
186,CVE-2018-4990,exploitation_technique,T1204.002,Malicious File
187,CVE-2007-5659,exploitation_technique,T1204.002,Malicious File
188,CVE-2018-4878,secondary_impact,T1041,Exfiltration Over C2 Channel
189,CVE-2018-4878,primary_impact,T1219,Remote Access Software
190,CVE-2018-4878,exploitation_technique,T1204.002,Malicious File
191,CVE-2018-15961,primary_impact,T1491.002,External Defacement
192,CVE-2018-15961,exploitation_technique,T1190,Exploit Public-Facing Application
193,CVE-2018-4939,primary_impact,T1190,Exploit Public-Facing Application
194,CVE-2018-4939,primary_impact,T1133,External Remote Services
195,CVE-2018-4939,exploitation_technique,T1203,Exploitation for Client Execution
196,CVE-2021-28550,exploitation_technique,T1204.002,Malicious File
197,CVE-2021-21017,exploitation_technique,T1204.002,Malicious File
198,CVE-2021-33739,exploitation_technique,T1598.002,Spearphishing Attachment
199,CVE-2021-33739,primary_impact,T1068,Exploitation for Privilege Escalation
200,CVE-2021-22205,primary_impact,T1498,Network Denial of Service
201,CVE-2021-22205,exploitation_technique,T1190,Exploit Public-Facing Application
202,CVE-2019-11634,secondary_impact,T1005,Data from Local System
203,CVE-2019-11634,secondary_impact,T1046,Network Service Discovery
204,CVE-2019-13608,secondary_impact,T1003,OS Credential Dumping
205,CVE-2019-11634,secondary_impact,T1003,OS Credential Dumping
206,CVE-2019-11634,secondary_impact,T1078,Valid Accounts
207,CVE-2019-13608,secondary_impact,T1078,Valid Accounts
208,CVE-2019-11634,primary_impact,T1059,Command and Scripting Interpreter
209,CVE-2019-13608,secondary_impact,T1046,Network Service Discovery
210,CVE-2019-13608,secondary_impact,T1005,Data from Local System
211,CVE-2019-13608,primary_impact,T1059,Command and Scripting Interpreter
212,CVE-2018-0296,exploitation_technique,T1202,Indirect Command Execution
213,CVE-2018-0296,primary_impact,T1005,Data from Local System
214,CVE-2021-1498,exploitation_technique,T1133,External Remote Services
215,CVE-2021-1498,primary_impact,T1059,Command and Scripting Interpreter
216,CVE-2021-1497,exploitation_technique,T1133,External Remote Services
217,CVE-2021-1497,primary_impact,T1059,Command and Scripting Interpreter
218,CVE-2016-4117,primary_impact,T1105,Ingress Tool Transfer
219,CVE-2016-4117,exploitation_technique,T1204.002,Malicious File
220,CVE-2016-0984,primary_impact,T1105,Ingress Tool Transfer
221,CVE-2016-0984,exploitation_technique,T1204.002,Malicious File
222,CVE-2016-1010,exploitation_technique,T1574,Hijack Execution Flow
223,CVE-2024-34102,secondary_impact,T1005,Data from Local System
224,CVE-2024-34102,primary_impact,T1059,Command and Scripting Interpreter
225,CVE-2024-34102,exploitation_technique,T1190,Exploit Public-Facing Application
226,CVE-2022-24086,exploitation_technique,T1190,Exploit Public-Facing Application
227,CVE-2013-0631,exploitation_technique,T1190,Exploit Public-Facing Application
228,CVE-2013-0631,primary_impact,T1592,Gather Victim Host Information
229,CVE-2023-38205,exploitation_technique,T1190,Exploit Public-Facing Application
230,CVE-2023-29298,exploitation_technique,T1190,Exploit Public-Facing Application
231,CVE-2020-3580,secondary_impact,T1217,Browser Information Discovery
232,CVE-2020-3580,primary_impact,T1059,Command and Scripting Interpreter
233,CVE-2020-3580,exploitation_technique,T1204.001,Malicious Link
234,CVE-2020-3452,primary_impact,T1005,Data from Local System
235,CVE-2020-3452,exploitation_technique,T1202,Indirect Command Execution
236,CVE-2021-42258,secondary_impact,T1486,Data Encrypted for Impact
237,CVE-2021-42258,primary_impact,T1059,Command and Scripting Interpreter
238,CVE-2019-3396,secondary_impact,T1202,Indirect Command Execution
239,CVE-2019-3396,primary_impact,T1090,Proxy
240,CVE-2019-3396,exploitation_technique,T1133,External Remote Services
241,CVE-2019-11580,primary_impact,T1059,Command and Scripting Interpreter
242,CVE-2021-26084,secondary_impact,T1496,Resource Hijacking
243,CVE-2021-26084,primary_impact,T1059,Command and Scripting Interpreter
244,CVE-2019-3398,primary_impact,T1059,Command and Scripting Interpreter
245,CVE-2019-3398,exploitation_technique,T1202,Indirect Command Execution
246,CVE-2010-2861,secondary_impact,T1119,Automated Collection
247,CVE-2010-2861,primary_impact,T1105,Ingress Tool Transfer
248,CVE-2010-2861,exploitation_technique,T1190,Exploit Public-Facing Application
249,CVE-2013-0629,exploitation_technique,T1190,Exploit Public-Facing Application
250,CVE-2023-38203,primary_impact,T1105,Ingress Tool Transfer
251,CVE-2023-38203,exploitation_technique,T1190,Exploit Public-Facing Application
252,CVE-2023-29300,primary_impact,T1105,Ingress Tool Transfer
253,CVE-2023-29300,exploitation_technique,T1190,Exploit Public-Facing Application
254,CVE-2023-26359,exploitation_technique,T1190,Exploit Public-Facing Application
255,CVE-2009-1862,exploitation_technique,T1204.002,Malicious File
256,CVE-2023-21608,exploitation_technique,T1204.002,Malicious File
257,CVE-2009-4324,exploitation_technique,T1204.002,Malicious File
258,CVE-2009-4324,primary_impact,T1071.001,Web Protocols
259,CVE-2008-0655,exploitation_technique,T1204.002,Malicious File
260,CVE-2009-3953,exploitation_technique,T1204.002,Malicious File
261,CVE-2011-2462,exploitation_technique,T1204.002,Malicious File
262,CVE-2010-2883,exploitation_technique,T1204.002,Malicious File
263,CVE-2014-0546,primary_impact,T1497,Virtualization/Sandbox Evasion
264,CVE-2023-26369,exploitation_technique,T1204.002,Malicious File
265,CVE-2022-26134,exploitation_technique,T1190,Exploit Public-Facing Application
266,CVE-2022-30190,primary_impact,T1105,Ingress Tool Transfer
267,CVE-2022-30190,exploitation_technique,T1204.002,Malicious File
268,CVE-2008-2992,exploitation_technique,T1204.002,Malicious File
269,CVE-2010-0188,primary_impact,T1105,Ingress Tool Transfer
270,CVE-2010-0188,exploitation_technique,T1189,Drive-by Compromise
271,CVE-2013-0640,exploitation_technique,T1566.001,Spearphishing Attachment
272,CVE-2013-0641,secondary_impact,T1048,Exfiltration Over Alternative Protocol
273,CVE-2013-0641,primary_impact,T1105,Ingress Tool Transfer
274,CVE-2013-0641,exploitation_technique,T1204.002,Malicious File
275,CVE-2013-3346,exploitation_technique,T1059.007,JavaScript
276,CVE-2014-0496,exploitation_technique,T1204.002,Malicious File
277,CVE-2016-7855,exploitation_technique,T1189,Drive-by Compromise
278,CVE-2017-11292,secondary_impact,T1005,Data from Local System
279,CVE-2017-11292,primary_impact,T1105,Ingress Tool Transfer
280,CVE-2017-11292,exploitation_technique,T1566.001,Spearphishing Attachment
281,CVE-2017-11292,exploitation_technique,T1204.002,Malicious File
282,CVE-2018-15982,primary_impact,T1105,Ingress Tool Transfer
283,CVE-2018-15982,exploitation_technique,T1204.002,Malicious File
284,CVE-2010-1297,primary_impact,T1105,Ingress Tool Transfer
285,CVE-2010-1297,exploitation_technique,T1204.002,Malicious File
286,CVE-2010-1297,exploitation_technique,T1189,Drive-by Compromise
287,CVE-2012-5054,exploitation_technique,T1189,Drive-by Compromise
288,CVE-2014-8439,exploitation_technique,T1189,Drive-by Compromise
289,CVE-2015-8651,secondary_impact,T1486,Data Encrypted for Impact
290,CVE-2015-8651,primary_impact,T1105,Ingress Tool Transfer
291,CVE-2015-8651,exploitation_technique,T1189,Drive-by Compromise
292,CVE-2015-0310,exploitation_technique,T1189,Drive-by Compromise
293,CVE-2015-3113,secondary_impact,T1622,Debugger Evasion
294,CVE-2015-3113,secondary_impact,T1497,Virtualization/Sandbox Evasion
295,CVE-2015-3113,primary_impact,T1071.001,Web Protocols
296,CVE-2015-3113,exploitation_technique,T1204.002,Malicious File
297,CVE-2012-2034,exploitation_technique,T1189,Drive-by Compromise
298,CVE-2011-0611,primary_impact,T1105,Ingress Tool Transfer
299,CVE-2011-0611,exploitation_technique,T1204.002,Malicious File
300,CVE-2012-1535,primary_impact,T1105,Ingress Tool Transfer
301,CVE-2012-1535,exploitation_technique,T1204.002,Malicious File
302,CVE-2015-3043,exploitation_technique,T1189,Drive-by Compromise
303,CVE-2015-7645,exploitation_technique,T1204.002,Malicious File
304,CVE-2020-12812,primary_impact,T1556,Modify Authentication Process
305,CVE-2020-12812,exploitation_technique,T1556,Modify Authentication Process
306,CVE-2019-5591,secondary_impact,T1005,Data from Local System
307,CVE-2019-5591,primary_impact,T1557,Adversary-in-the-Middle
308,CVE-2019-5591,exploitation_technique,T1133,External Remote Services
309,CVE-2021-35464,primary_impact,T1059,Command and Scripting Interpreter
310,CVE-2021-35464,exploitation_technique,T1190,Exploit Public-Facing Application
311,CVE-2021-22986,secondary_impact,T1485,Data Destruction
312,CVE-2021-22986,primary_impact,T1059,Command and Scripting Interpreter
313,CVE-2021-22986,exploitation_technique,T1190,Exploit Public-Facing Application
314,CVE-2020-5902,secondary_impact,T1552,Unsecured Credentials
315,CVE-2020-5902,secondary_impact,T1005,Data from Local System
316,CVE-2020-5902,exploitation_technique,T1190,Exploit Public-Facing Application
317,CVE-2020-8657,exploitation_technique,T1106,Native API
318,CVE-2018-6789,primary_impact,T1059,Command and Scripting Interpreter
319,CVE-2018-6789,exploitation_technique,T1190,Exploit Public-Facing Application
320,CVE-2021-22205,secondary_impact,T1498,Network Denial of Service
321,CVE-2021-22205,secondary_impact,T1496,Resource Hijacking
322,CVE-2021-22205,primary_impact,T1059,Command and Scripting Interpreter
323,CVE-2018-7600,secondary_impact,T1485,Data Destruction
324,CVE-2018-7600,secondary_impact,T1496,Resource Hijacking
325,CVE-2018-7600,primary_impact,T1059,Command and Scripting Interpreter
326,CVE-2018-7600,exploitation_technique,T1190,Exploit Public-Facing Application
327,CVE-2020-8515,secondary_impact,T1496,Resource Hijacking
328,CVE-2020-8515,primary_impact,T1059,Command and Scripting Interpreter
329,CVE-2020-8515,exploitation_technique,T1133,External Remote Services
330,CVE-2017-9822,secondary_impact,T1496,Resource Hijacking
331,CVE-2017-9822,primary_impact,T1059,Command and Scripting Interpreter
332,CVE-2017-9822,exploitation_technique,T1190,Exploit Public-Facing Application
333,CVE-2020-25506,secondary_impact,T1584.005,Botnet
334,CVE-2020-25506,primary_impact,T1059,Command and Scripting Interpreter
335,CVE-2020-25506,exploitation_technique,T1133,External Remote Services
336,CVE-2020-29557,secondary_impact,T1584.005,Botnet
337,CVE-2020-29557,primary_impact,T1059,Command and Scripting Interpreter
338,CVE-2020-29557,exploitation_technique,T1190,Exploit Public-Facing Application
339,CVE-2019-11634,secondary_impact,T1486,Data Encrypted for Impact
340,CVE-2019-11634,exploitation_technique,T1190,Exploit Public-Facing Application
341,CVE-2020-8193,exploitation_technique,T1556,Modify Authentication Process
342,CVE-2020-8193,primary_impact,T1005,Data from Local System
343,CVE-2020-8195,exploitation_technique,T1056,Input Capture
344,CVE-2020-8195,primary_impact,T1082,System Information Discovery
345,CVE-2020-8195,primary_impact,T1005,Data from Local System
346,CVE-2020-8196,exploitation_technique,T1056,Input Capture
347,CVE-2020-8196,primary_impact,T1082,System Information Discovery
348,CVE-2020-8196,secondary_impact,T1005,Data from Local System
349,CVE-2024-26169,primary_impact,T1059,Command and Scripting Interpreter
350,CVE-2024-26169,exploitation_technique,T1112,Modify Registry
351,CVE-2024-38112,exploitation_technique,T1189,Drive-by Compromise
352,CVE-2024-38112,exploitation_technique,T1204.001,Malicious Link
353,CVE-2021-3129,exploitation_technique,T1190,Exploit Public-Facing Application
354,CVE-2021-3129,primary_impact,T1059,Command and Scripting Interpreter
355,CVE-2021-44529,primary_impact,T1195.002,Compromise Software Supply Chain
356,CVE-2021-44529,exploitation_technique,T1190,Exploit Public-Facing Application
357,CVE-2021-40655,exploitation_technique,T1190,Exploit Public-Facing Application
358,CVE-2021-36380,primary_impact,T1059.004,Unix Shell
359,CVE-2021-36380,exploitation_technique,T1190,Exploit Public-Facing Application
360,CVE-2024-26169,exploitation_technique,T1203,Exploitation for Client Execution
361,CVE-2024-30051,primary_impact,T1068,Exploitation for Privilege Escalation
362,CVE-2023-29492,exploitation_technique,T1190,Exploit Public-Facing Application
363,CVE-2021-26085,exploitation_technique,T1190,Exploit Public-Facing Application
364,CVE-2022-26138,exploitation_technique,T1552.001,Credentials In Files
365,CVE-2022-36804,exploitation_technique,T1190,Exploit Public-Facing Application
366,CVE-2023-22527,primary_impact,T1496,Resource Hijacking
367,CVE-2023-22527,exploitation_technique,T1221,Template Injection
368,CVE-2023-22518,secondary_impact,T1105,Ingress Tool Transfer
369,CVE-2023-22518,primary_impact,T1033,System Owner/User Discovery
370,CVE-2023-22518,exploitation_technique,T1190,Exploit Public-Facing Application
371,CVE-2021-27059,exploitation_technique,T1203,Exploitation for Client Execution
372,CVE-2023-21715,exploitation_technique,T1204.002,Malicious File
373,CVE-2023-23397,secondary_impact,T1078,Valid Accounts
374,CVE-2023-23397,primary_impact,T1550.002,Pass the Hash
375,CVE-2023-23397,exploitation_technique,T1203,Exploitation for Client Execution
376,CVE-2023-27350,secondary_impact,T1105,Ingress Tool Transfer
377,CVE-2023-27350,primary_impact,T1059,Command and Scripting Interpreter
378,CVE-2023-27350,exploitation_technique,T1190,Exploit Public-Facing Application
379,CVE-2021-37415,exploitation_technique,T1190,Exploit Public-Facing Application
380,CVE-2021-44077,secondary_impact,T1573.001,Symmetric Cryptography
381,CVE-2021-44077,secondary_impact,T1560.001,Archive via Utility
382,CVE-2021-44077,secondary_impact,T1087.002,Domain Account
383,CVE-2021-44077,secondary_impact,T1070.004,File Deletion
384,CVE-2021-44077,secondary_impact,T1047,Windows Management Instrumentation
385,CVE-2021-44077,secondary_impact,T1003.003,NTDS
386,CVE-2021-44077,secondary_impact,T1136,Create Account
387,CVE-2021-44077,secondary_impact,T1218,System Binary Proxy Execution
388,CVE-2021-44077,secondary_impact,T1003,OS Credential Dumping
389,CVE-2021-44077,secondary_impact,T1140,Deobfuscate/Decode Files or Information
390,CVE-2021-44077,secondary_impact,T1027,Obfuscated Files or Information
391,CVE-2021-44077,primary_impact,T1505.003,Web Shell
392,CVE-2021-44077,exploitation_technique,T1190,Exploit Public-Facing Application
393,CVE-2021-44515,secondary_impact,T1003,OS Credential Dumping
394,CVE-2021-44515,secondary_impact,T1069,Permission Groups Discovery
395,CVE-2021-44515,secondary_impact,T1087,Account Discovery
396,CVE-2021-44515,primary_impact,T1105,Ingress Tool Transfer
397,CVE-2021-44515,exploitation_technique,T1190,Exploit Public-Facing Application
398,CVE-2022-28810,exploitation_technique,T1190,Exploit Public-Facing Application
399,CVE-2022-35405,exploitation_technique,T1059,Command and Scripting Interpreter
400,CVE-2024-4358,exploitation_technique,T1190,Exploit Public-Facing Application
401,CVE-2023-40044,exploitation_technique,T1059,Command and Scripting Interpreter
402,CVE-2023-34362,secondary_impact,T1531,Account Access Removal
403,CVE-2023-34362,secondary_impact,T1136,Create Account
404,CVE-2023-34362,secondary_impact,T1005,Data from Local System
405,CVE-2023-34362,secondary_impact,T1082,System Information Discovery
406,CVE-2023-34362,secondary_impact,T1105,Ingress Tool Transfer
407,CVE-2023-34362,primary_impact,T1059,Command and Scripting Interpreter
408,CVE-2023-34362,exploitation_technique,T1190,Exploit Public-Facing Application
409,CVE-2021-44168,primary_impact,T1601,Modify System Image
410,CVE-2021-44168,exploitation_technique,T1078.003,Local Accounts
411,CVE-2022-40684,primary_impact,T1098.004,SSH Authorized Keys
412,CVE-2022-40684,exploitation_technique,T1190,Exploit Public-Facing Application
413,CVE-2022-41328,secondary_impact,T1049,System Network Connections Discovery
